561 192.168.0.30     vcr.oualline.com
 16 69.46.195.55     --unknown--
  8 66.193.160.126   --unknown--
  7 208.34.72.10     --unknown--
  6 66.193.231.55    shiva.gameanon.net
  5 65.207.49.69     host69.aetherquest.com
  4 212.253.2.202    --unknown--
  1 67.127.197.89    adsl-67-127-197-89.dsl.lsan03.pacbell.net
  1 208.57.32.21     san-cust-208.57.32.21.mpowercom.net
  1 218.1.164.46     --unknown--
  1 207.192.252.238  cm-207-192-252-238.stjoseph.mo.npgco.com
  1 64.79.3.92       Host03.ImageSnap.Com
  1 202.107.202.14   --unknown--
  1 207.192.241.9    --unknown--
